,Texto,Discurso de ódio
86,"Udesc lança o Monitor Covid-19, site que oferece análises de dados sobre os casos da doença no Brasil, em níveis nacional, estadual e municipal. 

O objetivo é ajudar pesquisadores, gestores e cidadãos a monitorar a pandemia no País.

Confira
 https://bit.ly/Udesc-MonitorCovid19…",0
87,"Internado com #Covid-19, o prefeito de São Bernardo do Campo, 
@OrlandoMorando_
, alertou a população para ficar em casa. ""A melhor forma de prevenir é o isolamento para não contaminar outras pessoas"". Desejamos uma rápida recuperação.",0
88,"::: DORIA E COVAS COLOCAM O LUCRO DAS EMPRESAS DE TRANSPORTE ACIMA DAS NOSSAS VIDAS!
.
Na contramão das recomendações de saúde frente ao espalhamento do vírus Covid-19, a REDUÇÃO DA FROTA do transporte apenas contribui pra exposição da  população",0
89,Covid-19: MP recomenda que municípios gaúchos respeitem decreto estadual que restringe comércio - https://guaiba.com.br/2020/04/02/covid-19-mp-recomenda-que-municipios-gauchos-respeitem-decreto-estadual-que-restringe-comercio/…,0
90,Covid-19: Polícia Municipal passa a fiscalizar estado de emergência - https://lusa.pt/article/10%7eSrticle/10~SsC_UkdXxTUu_lFBiMzMSZM5iuSI1…,0
91,"A Cannabis apanha de um monte de gente retrógrada mas tá sempre feliz oferecendo seus maravilhosos serviços. É assim com Câncer, AIDS, Alzheimer, Epilepsia entre outras comprovadamente, mas continua apanhando. Espero que ajude no Covid-19, e continue nos deixando numa nice. ",0
92,"Subiu para 563 o número de casos confirmados de covid-19 no Ceará. 21 mortes causadas pela doença são registradas no estado, conforme o boletim epidemiológico da Secretaria de Saúde do Estado do Ceará (Sesa), divulgado na noite desta quinta-feira (2). Veja os gráficos!",0
93,"Mulher pediu liberdade por receio de covid-19, mas Alberto Anderson Filho negou pedido dizendo que apenas astronautas estavam a salvo do vírus.

Por 
@padudias
 

Apoie: http://catarse.me/construa_ponte",0
94,"URGENTE - MAIA DERRUBA O USO DO FUNDO ELEITORAL PARA O COMBATE À COVID-19
""A Mesa Diretora da Câmara decidiu não acatar o destaque do partido Novo à PEC do Orçamento de Guerra para destinar os recursos do fundo eleitoral para o combate à Covid-19.
ELE TÁ PREOCUPADO COM O POVO?",0
95,Alô covid-19 já pode ir Embora né,0
96,Covid+19 é tipo aquele amigo empata foda que não vê que JA PASSOU A HORA DE IR EMBORA,0
97,"Que vergonha! Os deputados foram impedidos agora a pouco de votarem que o fundão seja destinado pra ajudar no combate ao COVID-19, pois sabiam que a votação a favor iria ganhar. Vamos  ficar de olho
#JejumPeloBrasil",0
98,"Estão recrutando veterinários pra ajudar no combate ao covid-19 porque não tem médico que chega, e vai bem pra esses animal que tão saindo pra rolê na quarentena",0
99,"Grande profissional do futebol maranhense, Roberto Fernandes foi diagnosticado, recentemente, com a COVID-19. O Juventude Samas deseja recuperação rápida e que, em breve, possa estar nos alegrando novamente no esporte! #ForçaRobertoFernandes",0
100,"Não tem motivo pra pânico 
Até porque nem se sabe se todas as mortes foram por covid-19",0
101,Ideia para um novo Big Brother: 10 anti-vaxxers a viverem numa casa e de repente entra uma pessoa assintomática com Covid 19. Só podem tratar se com Reiki ou sairem quando admitirem a utilidade das vacinas.,0
102,"Evolução dos casos de covid-19 no Tocantins: em 15 dias, foram 13 pacientes diagnosticados no estado.",0
103,"CÂMARA DERRUBA DESTAQUE QUE TRATA DO FUNDÃO PARA A COVID-19 . É assim que o senhor 
@RodrigoMaia
  , está preocupado com o.povo brasileiro? Aliás , o que esperar de um time medíocre né , Botafogo.",0
104,"Sei que a situação está crítica para todos mas venho pedir a solidariedade de quem puder ajudar o Erick e sua família, Ele é autista severo e está internado na UTI da PUC com pneumonia e em isolamento com suspeita de covid-19.
#correntedobem",0
105,"ESTUPRO: Câmara derruba destaque que trata do Fundão para a Covid-19!
@RodrigoMaia
 simplesmente passou por cima da Constituição e do regimento para manter o Fundão. Enquanto isso, em crise, o povo é demitido dos seus empregos.

E PIOR: A grande mídia se emudeceu.",0
106,"Covid-19: Israel tenta parar coronavírus em comunidades ultra-ortodoxas. Uma localidade está sob cerco sanitário e os seus idosos vão ser retirados. Grande parte dos casos teve origem em sinagogas e o ministro da Saúde, que é ultra-ortodoxo, está infectado.",0
107,"Comecei a dar valor às pequenas coisas, diz jovem de grupo de risco que se recuperou da Covid-19",1
108,Ainda não consegui beijar minha filha': a dura realidade de dar à luz com covid-19,0
109,"Maia passou por cima da Constituição e Regimento para não admitir o destaque do NOVO, que autorizava destinar o Fundão para o combate ao Covid-19.

A prioridade de Maia e dos contrários à proposta é usar BILHÕES para financiar políticos, não para salvar vidas.

#FundãoParaASaúde",0
110,"Bolsonaro e Doria perderão duelo do coronavírus Presidente usou fakenews na campanha contra governadores no combate à covid-19 e paullsta, da mesma forma, pisou feio na bola ao tratar Lula como político, não como ladrão condenado (Jornal da Gazeta)",0
111,"Crianças desenvolvem sintomas mais leves, mas podem se tornar vetores da Covid-19', alerta infectologista pedi...",0
112,"DF tem maior incidência de casos de Covid-19 por habitante do país, diz Ministro da Saúde",0
113,Rede Prevent Senior está prescrevendo hidroxicloroquina por conta própria para pessoas que estão com sintomas de COVID-19. Decisão contraria as orientações do Ministério da Saúde.,0
114,"Primeiro Bolsonaro desdenhou da vida dos gays, mas como você não era gay e não ligou.

Depois ele desdenhou da vida dos torturados pela ditadura, mas vc não havia sido torturado e não ligou.

Agora veio o COVID-19 e ele desdenhou da vida de todos. Espero que vc tenha aprendido.",0
115,"Espirito Santo tem 150+ casos de COVID-19 confirmados

4 mortos confirmados (sem contar os sem teste)

...

...

governador do estado: vamo abrir as loja de chocolate pra pascoa ",0
116,"Comecei a dar valor às pequenas coisas, diz jovem de grupo de risco que se recuperou da Covid-19",1
117,"Se espirro fosse sintoma da COVID-19 eu ia ter que morar num hospital, totalmente isolado até a pandemia sumir no mundo inteiro. Eu espirro mto, cs não fazem ideia.",0
118,"""Rodrigo Maia vetou a apreciação da emenda do Novo que destinava o Fundão Eleitoral para aplicação no enfrentamento da Covid-19.

O hoje ministro da Saúde, Mandetta, foi um dos 233 deputados que, em 5 de outubro de 2017, votaram pela criação do Fundão Eleitoral com R$ 1,7 bilhão""",0
119,"Nesta sexta-feira (3), o senador, advogado e ativista queniano James Orengo (
@orengo_james
) publicou em seu perfil no Twitter uma foto em que aparece fazendo teste de COVID-19 com a camisa do Flamengo.",0
120,"Vejo dois cenários.
1 - aceitamos que nos últimos 15 dias o isolamento tem se afrouxado  e os casos de covid-19 vão explodir. 
2 - restringimos ainda mais a circulação e vamos ter a esperança dos casos pararem de aumentar. 
Obs: fui ao supermercado hoje à tarde. Estava td normal.",0
121,"O 
@minsaude
 vai avaliar as práticas de prevenção e condições de saúde da população brasileira. A pesquisa telefônica 
'Vigitel Covid-19' está ouvindo pessoas com mais de 18 anosde todas as capitais do país.
Saiba mais: https://bit.ly/2X2IlNj
#Coronavírus #covid19",0
122,"O presidente da Câmara  proibiu a votação do uso do fundo eleitoral para o combate ao Coronavírus.
Este senhor deveria determina que os santinhos eleitorais tragam as fotos dos mortos pela Covid-19 no lugar da cara dos candidatos.
Eu tenho vergonha de Rodrigo Maia, e você?",0
123,"Paciente de Santarém, de 44 anos, testa positivo para Covid-19; número de casos confirmados sobe para 5",0
124,"Gente! Com essa crise de covid-19 até esquecemos que o dólar já está a $5,34.",0
125,"Existe uma recusa em admitir que o uso hospitalar da hidroxicloroquina administrada com azitromicina tem efetivamente promovido a cura de pacientes acometidos de COVID-19 e pertencentes ao grupo de risco, conforme vem sendo relatado por inúmeros médicos do Brasil e do exterior.",0
126,"Para o estado do Rio de Janeiro, espera-se um total de 5.140 casos confirmados da COVID-19 no dia 20/04/2020, podendo variar entre 3.156 e 7.576, no melhor e pior cenários, respectivamente. Fonte: Núcleo de Operações e Inteligência em Saúde (NOIS)",0
127,Covid-19: mortes somam 359 e infectados são 9 mil no Brasil | Agora Notícias Brasil - Sua fonte de notícias,0
128,"A FEI segue engajada no desafio contra o COVID-19!

Com apoio da máquina de corte a laser da FEI e idealizada pelo professor 
@rodrmagn
, as peças serão produzidas em parceria com a Abinfer e enviadas ao Ministério da Saúde. Leia mais: https://fei.page.link/mascaras_fei #FEI",0
129,"Amigos, amanhã, às 17h, vai rolar uma transmissão ao vivo com alguns atletas do Vasco para cantar parabéns para o nosso querido Joãozinho (link abaixo), que por motivos óbvios está isolado em função da pandemia do Covid-19. Vamos prestigiar! 

https://instagram.com/joaovascaino_?igshid=1cwbafdyi9jbu…",0
130,"Udesc Balneário Camboriú produz gel antisséptico contra Covid-19 para Secretaria da Saúde da 
@prefeituradebc
 

https://udesc.br/noticia/udesc_produz_gel_antisseptico_contra_covid-19_para_setor_de_saude_de_balneario_camboriu…",0
131,#Coronavírus: 'Ainda não consegui beijar minha filha': a dura realidade de dar à luz com covid-19,0
132,Sobe de 299 para 359 o número de mortes por coronavírus no Brasil. São 9.056 os casos confirmados da Covid-19 em território nacional. #JornaldaBand #BandJornalismo,0
133,"A imagem do Senhor do Bonfim circulou vários bairros de Salvador por causa da covid-19. Na primeira sexta do mês, Igreja vazia. A gravidade desse momento aparece em muitos detalhes do cotidiano.",0
134,Covid-19: mortes somam 359 e infectados são 9 mil no Brasil | Agora Notícias Brasil - Sua fonte de notícias,0
135,Bahia tem 63 pacientes recuperados da Covid-19; 178 foram identificados pela busca em hospitais http://dlvr.it/RT7cGv,0
136,"Enquanto nós congressistas votamos projetos para libertação de recursos para o combate ao COVID-19, a Petrobras corta em 25% do salário dos seus servidores, MANTÉM o salário do presidente e dos seus oito diretores. E fica os bolsonaristas querendo reduzir salário dos servidores.",0
137,"Na Venezuela, estudantes de medicina, que também são militantes da Brigada Internacionalista do 
@MST_Oficial
 apoiam os médicos comunitários no trabalho de passar de em casa em casa ajudando na prevenção à Covid-19 em uma comuna da cidade de caracas.",0
138,"Infográfico do 
@jornaltocantins
 mostra: Palmas chegou a 649 notificações suspeitas de Covid-19. 

Só testou 27% (178) com 10 confirmações. 

E há 471 notificações sem testagem 

Covid19-TO -",0
139,"Cientistas brasileiros sequenciaram o genoma do novo coronavírus de 19 amostras do coronavírus de pacientes de cinco estados brasileiros - apenas
48 horas e descobriram que vírus já ganhou características próprias no Brasil.  #coronavirus #destaquesdemarço",0
140,"- Apoiamos o PT porque somos:
- Contra o Dólar a 5 reais
- Contra a Milícia
- Contra Gasolina a 6 reais
- Contra as Mamatas
- Contra mentir nas redes sociais
- Contra fechar o Congresso e o STF.
- Contra torrar as reservas
- Contra o Covid-19
#NinguemApagaNossaEstrela",0
141,Como você avalia o  posicionamento do Presidente Bolsonaro frente a pandemia do corona virus covid-19 no Brasil ?,0
142,General Villas-Boas está claramente com os dois pés na cova e só falta o camarada covid-19 dar um empurrãzinho,0
143,"Para esquerda COVID-19 tem que continuar por longos dias a turma do ""quanto pior melhor"" estão ouriçados decretaram estado de calamidades impediram que o país produza, fazem obras faraônicas desnecessárias sem licitação e lavam dinheiro descaradamente",0
144,"Amazonas vai ser destaque no 
@jornalnacional
 já já #covid_19",0
145,old q vcs nao respeitam a quarentena e todo mundo vai morrer de covid-19,1
146,"Hoje atingimos 10 mil casos de COVID-19, ainda nos encontramos no início. A curva está começando a subir e este é um momento crítico. A análise desses números em pandemias anteriores podem nos ajudar a compreender melhor o que nos espera.

Como foi essa ascensão em 1918? 
+",0
147,".
1. A cloroquina existe a 70 anos e até recentemente era vendida nas farmácias.

2. De repente, a Grande Mídia, oposição e muitas autoridades estão fuzilando este remédio.

3. Que crime este remédio cometeu ? 

    - Ousou salvar vidas contaminadas pelo COVID 19

#TemposSombrios",0
